Movies_x,Year,Rank,Movie Rating,Movie ID,Genre,Rated,Actors,Directors,Gross
      Left Behind,2014,38,3.2,tt2467046,"Action, Fantasy, Sci-Fi",PG-13,"Nicolas Cage, Lea Thompson, Cassi Thomson",Vic Armstrong,"$14,019,924"
      Santa Claus Conquers the Martians,1964,39,3.3,tt0058548,"Adventure, Comedy, Family",Not Rated,"John Call, Leonard Hicks, Vincent Beck",Nicholas Webster,N/A
      Student of the Year 2,2019,40,3.3,tt7255568,"Action, Comedy, Drama",Not Rated,"Tiger Shroff, Ananya Panday, Tara Sutaria",Punit Malhotra,"$778,566"
      Gunday,2014,41,3.3,tt2574698,"Action, Drama, Musical",Not Rated,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas",Ali Abbas Zafar,N/A
      Kazaam,1996,42,3.3,tt0116756,"Comedy, Family, Fantasy",PG,"Shaquille O'Neal, Francis Capra, Ally Walker",Paul Michael Glaser,"$18,937,262"
      365 Days,2020,43,3.3,tt10886166,"Drama, Romance",TV-MA,"Anna Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski","Barbara Bialowas, Tomasz Mandes",N/A
      Rollerball,2002,44,3.3,tt0246894,"Action, Sci-Fi, Sport",PG-13,"Chris Klein, Jean Reno, LL Cool J",John McTiernan,"$18,990,798"
      Steel,1997,45,3.3,tt0120207,"Action, Adventure, Crime",PG-13,"Shaquille O'Neal, Annabeth Gish, Judd Nelson",Kenneth Johnson,"$1,710,972"
      Jack and Jill,2011,46,3.3,tt0810913,Comedy,PG,"Adam Sandler, Katie Holmes, Al Pacino",Dennis Dugan,"$74,158,157"
      Laxmii,2020,47,3.4,tt10350922,"Action, Comedy, Horror",TV-MA,"Akshay Kumar, Kiara Advani, Sharad Kelkar","Lawrence Raghavendra, Balakrishnan Thevar",N/A
      Slender Man,2018,48,3.4,tt5690360,"Horror, Mystery, Thriller",PG-13,"Joey King, Julia Goldani Telles, Jaz Sinclair",Sylvain White,"$30,569,484"
      Catwoman,2004,49,3.4,tt0327554,"Action, Crime, Fantasy",PG-13,"Halle Berry, Sharon Stone, Benjamin Bratt",Pitof,"$40,202,379"
      The Emoji Movie,2017,50,3.4,tt4877122,"Animation, Adventure, Comedy",PG,"T.J. Miller, James Corden, Anna Faris",Tony Leondis,"$86,089,513"
      The Starving Games,2013,51,3.4,tt2403029,"Comedy, Sci-Fi",PG-13,"Maiara Walsh, Brant Daugherty, Cody Christian","Jason Friedberg, Aaron Seltzer",N/A
      The Open House,2018,52,3.5,tt7608028,"Horror, Thriller",TV-MA,"Dylan Minnette, Piercey Dalton, Patricia Bethune","Matt Angel, Suzanne Coote",N/A
      Vampires Suck,2010,53,3.5,tt1666186,"Comedy, Horror",PG-13,"Jenn Proske, Matt Lanter, Diedrich Bader","Jason Friedberg, Aaron Seltzer","$36,661,504"
      Daddy Day Camp,2007,54,3.5,tt0462244,"Comedy, Family",PG,"Cuba Gooding Jr., Lochlyn Munro, Richard Gant",Fred Savage,"$13,235,267"
      Baaghi 3,2020,55,3.5,tt8366590,"Action, Comedy, Musical",Not Rated,"Tiger Shroff, Riteish Deshmukh, Shraddha Kapoor",Ahmed Khan,"$721,439"
      Gully,2019,56,3.5,tt5013984,"Crime, Drama",R,"Kelvin Harrison Jr., Jacob Latimore, Charlie Plummer",Nabil Elderkin,"$22,517"
      Far Cry,2008,57,3.5,tt0400426,"Action, Adventure, Sci-Fi",R,"Til Schweiger, Emmanuelle Vaugier, Natalia Avelon",Uwe Boll,N/A
      3 Ninjas: High Noon at Mega Mountain,1998,58,3.5,tt0118539,"Action, Adventure, Comedy",PG,"Loni Anderson, Hulk Hogan, Jim Varney",Sean McNamara,"$375,805"
      Bratz,2007,59,3.5,tt0804452,"Comedy, Family, Music",PG,"Skyler Shaye, Janel Parrish, Logan Browning",Sean McNamara,"$10,010,209"
      Barb Wire,1996,60,3.6,tt0115624,"Action, Sci-Fi",R,"Pamela Anderson, Amir AboulEla, Adriana Alexander",David Hogan,"$3,793,614"
      Texas Chainsaw Massacre: The Next Generation,1994,61,3.6,tt0110978,"Comedy, Horror, Thriller",R,"Renée Zellweger, Matthew McConaughey, Robert Jacks",Kim Henkel,"$185,898"
      Dumb and Dumberer: When Harry Met Lloyd,2003,62,3.6,tt0329028,Comedy,PG-13,"Derek Richardson, Eric Christian Olsen, Eugene Levy",Troy Miller,"$26,276,465"
      Hercules in New York,1970,63,3.6,tt0065832,"Adventure, Comedy, Fantasy",G,"Arnold Stang, Arnold Schwarzenegger, Deborah Loomis",Arthur Allan Seidelman,N/A
      The Master of Disguise,2002,64,3.6,tt0295427,"Adventure, Comedy, Family",PG,"Dana Carvey, Jennifer Esposito, Harold Gould",Perry Andelin Blake,"$40,388,794"
      Scary Movie V,2013,65,3.6,tt0795461,Comedy,PG-13,"Simon Rex, Ashley Tisdale, Charlie Sheen","Malcolm D. Lee, David Zucker","$32,015,787"
      Feardotcom,2002,66,3.7,tt0295254,"Crime, Horror, Thriller",R,"Stephen Dorff, Natascha McElhone, Stephen Rea",William Malone,"$13,258,249"
      Bucky Larson: Born to Be a Star,2011,67,3.7,tt1411664,Comedy,R,"Nick Swardson, Don Johnson, Christina Ricci",Tom Brady,"$2,529,395"
      Breach,2020,68,3.7,tt9820556,"Action, Horror, Sci-Fi",R,"Cody Kearsley, Bruce Willis, Rachel Nichols",John Suits,N/A
      Spy Kids 4: All the Time in the World,2011,69,3.7,tt1517489,"Animation, Action, Adventure",PG,"Jessica Alba, Jeremy Piven, Joel McHale",Robert Rodriguez,"$38,538,188"
