movie_id,movies,rank,movie_rating,rated,year,genre,actors,directors,gross
tt2467046,      Left Behind,38,3.2,PG-13,2014,"Action, Fantasy, Sci-Fi","Nicolas Cage, Lea Thompson, Cassi Thomson",Vic Armstrong,"$14,019,924"
tt0058548,      Santa Claus Conquers the Martians,39,3.3,Not Rated,1964,"Adventure, Comedy, Family","John Call, Leonard Hicks, Vincent Beck",Nicholas Webster,N/A
tt7255568,      Student of the Year 2,40,3.3,Not Rated,2019,"Action, Comedy, Drama","Tiger Shroff, Ananya Panday, Tara Sutaria",Punit Malhotra,"$778,566"
tt2574698,      Gunday,41,3.3,Not Rated,2014,"Action, Drama, Musical","Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas",Ali Abbas Zafar,N/A
tt0116756,      Kazaam,42,3.3,PG,1996,"Comedy, Family, Fantasy","Shaquille O'Neal, Francis Capra, Ally Walker",Paul Michael Glaser,"$18,937,262"
tt10886166,      365 Days,43,3.3,TV-MA,2020,"Drama, Romance","Anna Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski","Barbara Bialowas, Tomasz Mandes",N/A
tt0246894,      Rollerball,44,3.3,PG-13,2002,"Action, Sci-Fi, Sport","Chris Klein, Jean Reno, LL Cool J",John McTiernan,"$18,990,798"
tt0120207,      Steel,45,3.3,PG-13,1997,"Action, Adventure, Crime","Shaquille O'Neal, Annabeth Gish, Judd Nelson",Kenneth Johnson,"$1,710,972"
tt0810913,      Jack and Jill,46,3.3,PG,2011,Comedy,"Adam Sandler, Katie Holmes, Al Pacino",Dennis Dugan,"$74,158,157"
tt10350922,      Laxmii,47,3.4,TV-MA,2020,"Action, Comedy, Horror","Akshay Kumar, Kiara Advani, Sharad Kelkar","Lawrence Raghavendra, Balakrishnan Thevar",N/A
tt5690360,      Slender Man,48,3.4,PG-13,2018,"Horror, Mystery, Thriller","Joey King, Julia Goldani Telles, Jaz Sinclair",Sylvain White,"$30,569,484"
tt0327554,      Catwoman,49,3.4,PG-13,2004,"Action, Crime, Fantasy","Halle Berry, Sharon Stone, Benjamin Bratt",Pitof,"$40,202,379"
tt4877122,      The Emoji Movie,50,3.4,PG,2017,"Animation, Adventure, Comedy","T.J. Miller, James Corden, Anna Faris",Tony Leondis,"$86,089,513"
tt2403029,      The Starving Games,51,3.4,PG-13,2013,"Comedy, Sci-Fi","Maiara Walsh, Brant Daugherty, Cody Christian","Jason Friedberg, Aaron Seltzer",N/A
tt7608028,      The Open House,52,3.5,TV-MA,2018,"Horror, Thriller","Dylan Minnette, Piercey Dalton, Patricia Bethune","Matt Angel, Suzanne Coote",N/A
tt1666186,      Vampires Suck,53,3.5,PG-13,2010,"Comedy, Horror","Jenn Proske, Matt Lanter, Diedrich Bader","Jason Friedberg, Aaron Seltzer","$36,661,504"
tt0462244,      Daddy Day Camp,54,3.5,PG,2007,"Comedy, Family","Cuba Gooding Jr., Lochlyn Munro, Richard Gant",Fred Savage,"$13,235,267"
tt8366590,      Baaghi 3,55,3.5,Not Rated,2020,"Action, Comedy, Musical","Tiger Shroff, Riteish Deshmukh, Shraddha Kapoor",Ahmed Khan,"$721,439"
tt5013984,      Gully,56,3.5,R,2019,"Crime, Drama","Kelvin Harrison Jr., Jacob Latimore, Charlie Plummer",Nabil Elderkin,"$22,517"
tt0400426,      Far Cry,57,3.5,R,2008,"Action, Adventure, Sci-Fi","Til Schweiger, Emmanuelle Vaugier, Natalia Avelon",Uwe Boll,N/A
tt0118539,      3 Ninjas: High Noon at Mega Mountain,58,3.5,PG,1998,"Action, Adventure, Comedy","Loni Anderson, Hulk Hogan, Jim Varney",Sean McNamara,"$375,805"
tt0804452,      Bratz,59,3.5,PG,2007,"Comedy, Family, Music","Skyler Shaye, Janel Parrish, Logan Browning",Sean McNamara,"$10,010,209"
tt0115624,      Barb Wire,60,3.6,R,1996,"Action, Sci-Fi","Pamela Anderson, Amir AboulEla, Adriana Alexander",David Hogan,"$3,793,614"
tt0110978,      Texas Chainsaw Massacre: The Next Generation,61,3.6,R,1994,"Comedy, Horror, Thriller","Renée Zellweger, Matthew McConaughey, Robert Jacks",Kim Henkel,"$185,898"
tt0329028,      Dumb and Dumberer: When Harry Met Lloyd,62,3.6,PG-13,2003,Comedy,"Derek Richardson, Eric Christian Olsen, Eugene Levy",Troy Miller,"$26,276,465"
tt0065832,      Hercules in New York,63,3.6,G,1970,"Adventure, Comedy, Fantasy","Arnold Stang, Arnold Schwarzenegger, Deborah Loomis",Arthur Allan Seidelman,N/A
tt0295427,      The Master of Disguise,64,3.6,PG,2002,"Adventure, Comedy, Family","Dana Carvey, Jennifer Esposito, Harold Gould",Perry Andelin Blake,"$40,388,794"
tt0795461,      Scary Movie V,65,3.6,PG-13,2013,Comedy,"Simon Rex, Ashley Tisdale, Charlie Sheen","Malcolm D. Lee, David Zucker","$32,015,787"
tt0295254,      Feardotcom,66,3.7,R,2002,"Crime, Horror, Thriller","Stephen Dorff, Natascha McElhone, Stephen Rea",William Malone,"$13,258,249"
tt1411664,      Bucky Larson: Born to Be a Star,67,3.7,R,2011,Comedy,"Nick Swardson, Don Johnson, Christina Ricci",Tom Brady,"$2,529,395"
tt9820556,      Breach,68,3.7,R,2020,"Action, Horror, Sci-Fi","Cody Kearsley, Bruce Willis, Rachel Nichols",John Suits,N/A
tt1517489,      Spy Kids 4: All the Time in the World,69,3.7,PG,2011,"Animation, Action, Adventure","Jessica Alba, Jeremy Piven, Joel McHale",Robert Rodriguez,"$38,538,188"
tt0103923,      Captain America,70,3.7,PG-13,1990,"Action, Adventure, Sci-Fi","Matt Salinger, Ronny Cox, Ned Beatty",Albert Pyun,N/A
tt0110647,      The NeverEnding Story III,71,3.7,G,1994,"Adventure, Comedy, Family","Jason James Richter, Melody Kay, Jack Black",Peter MacDonald,N/A
tt0120185,      Spice World,72,3.7,PG,1997,"Comedy, Family, Music","Mel B, Emma Bunton, Melanie C",Bob Spiers,"$29,342,592"
tt0110857,      Police Academy: Mission to Moscow,73,3.7,PG,1994,"Comedy, Crime","G.W. Bailey, George Gaynes, Michael Winslow",Alan Metter,"$126,247"
tt0275022,      Crossroads,74,3.7,PG-13,2002,"Comedy, Drama, Romance","Britney Spears, Anson Mount, Zoe Saldana",Tamra Davis,"$37,191,304"
tt0368226,      The Room,75,3.7,R,2003,Drama,"Tommy Wiseau, Juliette Danielle, Greg Sestero",Tommy Wiseau,"$549,602"
tt4667094,      Fifty Shades of Black,76,3.7,R,2016,Comedy,"Marlon Wayans, Kali Hawk, Fred Willard",Michael Tiddes,"$11,686,940"
tt7059844,      Dabangg 3,77,3.7,Not Rated,2019,"Action, Comedy, Crime","Salman Khan, Sudeep, Sonakshi Sinha",Prabhu Deva,"$202,000"
tt10481868,      Black Christmas,78,3.8,PG-13,2019,"Horror, Mystery, Thriller","Imogen Poots, Aleyse Shannon, Lily Donoghue",Sophia Takal,"$10,429,730"
tt0119707,      Mortal Kombat: Annihilation,79,3.8,PG-13,1997,"Action, Adventure, Fantasy","Robin Shou, Talisa Soto, James Remar",John R. Leonetti,"$35,927,406"
tt0372873,      Dragon Wars: D-War,80,3.8,PG-13,2007,"Action, Drama, Fantasy","Jason Behr, Amanda Brooks, Robert Forster",Hyung-rae Shim,"$10,977,721"
tt0085750,      Jaws 3-D,81,3.8,PG,1983,"Adventure, Horror, Thriller","Dennis Quaid, Bess Armstrong, Simon MacCorkindale",Joe Alves,"$45,517,055"
tt0095560,      Mac and Me,82,3.8,PG,1988,"Adventure, Family, Fantasy","Christine Ebersole, Jonathan Ward, Tina Caspary",Stewart Raffill,"$6,424,112"
tt0118688,      Batman & Robin,83,3.8,PG-13,1997,"Action, Sci-Fi","Arnold Schwarzenegger, George Clooney, Chris O'Donnell",Joel Schumacher,"$107,353,792"
tt0897361,      I Know Who Killed Me,84,3.8,R,2007,"Crime, Mystery, Thriller","Lindsay Lohan, Julia Ormond, Neal McDonough",Chris Sivertson,"$7,498,716"
